lat,lon,type,address
-37.8136,144.9631,store,
-37.80550335294118,144.98099195882355,apartments,"98-104, George Street"
-37.80087411428571,144.9510064714286,terrace,"36, Arden Street, North Melbourne"
-37.797993812499996,144.97155262500002,house,"42, Macarthur Place North"
-37.8202093,144.95640276,apartments,"7, Katherine Place, Melbourne"
-37.801976675,144.9759892625,house,
-37.8062493625,144.9517771875,house,"5, Chetwynd Street, West Melbourne"
-37.79742928,144.9717738,house,"88, Elgin Street"
-37.7958109625,144.96598505,house,"439, Cardigan Street"
-37.8036765625,144.980260975,house,
-37.801228599999995,144.9496859,house,"157, Errol Street, North Melbourne"
-37.799119337499995,144.96944409999998,terrace,"149, Faraday Street, Carlton"
-37.7986469,144.97079885833332,house,"61, Macarthur Place South"
-37.80118172857142,144.94947849999997,house,"45, Arden Street, North Melbourne"
-37.80625395,144.95134478333333,house,"14, Eades Place, West Melbourne"
-37.82956066363637,144.9671771,apartments,
-37.81983135185185,144.94222070740742,apartments,
-37.82603267142857,144.9568855,apartments,
-37.80981075714286,144.95388789999998,house,"309, William Street, West Melbourne"
-37.80844595999999,144.98184962,house,"193, Victoria Parade"
-37.80537286,144.94795586000004,apartments,
-37.808776862500004,144.96751609999998,apartments,"141-149, La Trobe Street, Melbourne"
-37.79875406,144.97210194000002,house,"13, Macarthur Place South"
-37.80157206250001,144.976638675,house,
-37.79681782439026,144.96984466585363,apartments,"7-29, Little Palmerston Street, Carlton"
-37.79871588571429,144.96974494285715,house,"142, Faraday Street, Carlton"
-37.812177966666674,144.9529840133333,apartments,"Jeffcott Street, West Melbourne"
-37.80772188,144.96051681999998,apartments,
-37.81347555999999,144.95355211999998,terrace,"5, Nicholson Place, Melbourne"
-37.81554240666666,144.95303922,apartments,"220, Spencer Street, Melbourne"
-37.79784494,144.96652746,house,"22, Tyne Street, Carlton"
-37.7962352,144.96650670000002,house,"360, Cardigan Street"
-37.81239849166666,144.98548980833334,house,"129, Powlett Street, East Melbourne"
-37.795811885714286,144.96547451428572,house,"19-21, Palmerston Place"
-37.80440137142857,144.9511787142857,house,"16, Leveson Street, North Melbourne"
-37.79969588,144.96987136,house,"301, Rathdowne Street, Carlton"
-37.804292836363636,144.9636529818182,apartments,"522-536, Swanston Street, Carlton"
-37.796684600000006,144.96588972,terrace,"401, Cardigan Street"
-37.802836705882356,144.95850127058821,apartments,Berkeley Street
-37.79806852857143,144.97259777857147,house,"2, Macarthur Place North"
-37.81006099090909,144.95659463636363,apartments,
-37.79901148571429,144.9723629714286,house,"56, Faraday Street, Carlton"
-37.79671112,144.96542891999997,house,"260, Elgin Street"
-37.80799358,144.97940648,house,
-37.80054361111112,144.9497871111111,house,
-37.80510812307692,144.96277907692308,apartments,"557-591, Swanston Street, Carlton"
-37.8008385,144.95029347,house,"168, Errol Street"
-37.812432777777786,144.98549993333333,house,"127, Powlett Street, East Melbourne"
-37.80448174,144.95027576,residential,"5, Raglan Street, North Melbourne"
-37.80345022,144.97521625999997,apartments,"9, Fleet Street"
-37.795957800000004,144.9659186,house,"431-433, Cardigan Street"
-37.79800861818182,144.97134646363637,house,"52, Macarthur Place North"
-37.79740783333333,144.97171605,house,"90, Elgin Street"
-37.79879421111111,144.97069715555554,house,"122, Faraday Street, Carlton"
-37.80173013793104,144.9649883137931,apartments,
-37.801052133333336,144.97931219999998,house,"206, Young Street, Fitzroy"
-37.79670196666667,144.96507976666666,house,"272, Elgin Street"
-37.80620217142857,144.9517957857143,house,"7, Chetwynd Street, West Melbourne"
-37.8059302,144.95128902857144,house,"28, Eades Place, West Melbourne"
-37.79800088333334,144.97163431666667,house,"40, Macarthur Place North"
-37.80424887142858,144.9515500285714,house,"27, Little Leveson Street, North Melbourne"
