lat,lon,type,address
-37.81073,144.970245,store,
-37.80509506666667,144.95170615555557,house,"436, Victoria Street, North Melbourne"
-37.793148907142864,144.97051316666665,apartments,"20, Reeves Street"
-37.79475665,144.97278817499998,house,"2, Charles Street"
-37.79522848888889,144.9815215333333,house,"420, Napier Street"
-37.79473605,144.97471226250002,house,"114, Station Street"
-37.80071827142857,144.9805439,house,"244, Napier Street"
-37.80570382857143,144.95108157142857,house,"38-40, Eades Place, West Melbourne"
-37.80143474285715,144.9895020142857,terrace,"80, Campbell Street"
-37.804208214285715,144.95121871428572,house,"24, Leveson Street, North Melbourne"
-37.7940382,144.9728511875,house,"51, Neill Street"
-37.81200625,144.989616475,house,"42, Grey Street, East Melbourne"
-37.79671112,144.96542891999997,house,"260, Elgin Street"
-37.802836705882356,144.95850127058821,apartments,Berkeley Street
-37.80016335,144.97992948333334,house,"76, Greeves Street"
-37.80225032727273,144.9880266090909,apartments,
-37.79625818000001,144.9721233,house,"86, Palmerston Street"
-37.81382164285714,144.9859774142857,house,"88, Powlett Street, East Melbourne"
-37.814965328571425,144.9849964828571,house,
-37.80488474,144.96428414,house,"135, Swanston Street, Carlton"
-37.7947859,144.97132806666664,house,"116, Kay Street"
-37.81528808571428,144.9834289285714,house,"209, George Street, East Melbourne"
-37.79517136666667,144.9673503,house,"10-12, Waterloo Street, Carlton"
-37.8043414,144.95206042,house,"73, Chetwynd Street, North Melbourne"
-37.79527754,144.9718167,detached,"101, Kay Street"
-37.7993437076923,144.98032515384617,terrace,"289, Napier Street"
-37.81594652857143,144.98564802857143,house,"12, Powlett Street, East Melbourne"
-37.79765366,144.96670466,house,"15, Little Elgin Street, Carlton"
-37.79479243333333,144.9737161888889,detached,"154, Canning Street"
-37.817919059999994,144.96167115999998,apartments,"39, Queen Street, Melbourne"
-37.8007501,144.96513978000002,apartments,
-37.79456356,144.97473353,house,"122, Station Street"
-37.804037228571424,144.95223280000002,house,"85, Chetwynd Street, North Melbourne"
-37.812365355555556,144.9877075888889,house,"51, Grey Street, East Melbourne"
-37.80079924285714,144.95214468571427,house,"67, Courtney Street, North Melbourne"
-37.798650783333336,144.97114151666668,house,"49, Macarthur Place South"
-37.814021644444445,144.98735023333333,house,"92, Hotham Street, East Melbourne"
-37.803165625,144.98819796874997,house,
-37.797250919999996,144.97746149999998,house,
-37.806355249999996,144.9555620875,house,"79, Peel Street, West Melbourne"
-37.81223604,144.98681116,house,"83, Grey Street, East Melbourne"
